mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08257880210876464,0.015352503748757795,0.01875028610229492,0.004159909676943158,3,log2,9,50,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 50}",0.5555555555555556,0.5555555555555556,0.3888888888888889,0.4117647058823529,0.7058823529411765,0.5235294117647059,0.11482452944312552,59
0.1816861152648926,0.02370272663643284,0.038706064224243164,0.006143867316491131,3,log2,9,100,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 100}",0.6111111111111112,0.5,0.4444444444444444,0.5294117647058824,0.6470588235294118,0.54640522875817,0.0736969768252546,16
0.4396036148071289,0.17604098141686472,0.06962766647338867,0.02843144379604385,3,log2,9,150,"{'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': 9, 'n_estimators': 150}",0.5555555555555556,0.5555555555555556,0.3888888888888889,0.5882352941176471,0.6470588235294118,0.5470588235294118,0.08585757842443413,12
0.0642202377319336,0.015631190786961516,0.015766143798828125,0.004566261565154915,3,,3,25,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 25}",0.5555555555555556,0.5,0.6111111111111112,0.5294117647058824,0.6470588235294118,0.5686274509803921,0.053618677913708994,2
0.1019256591796875,0.015380708742001339,0.022339487075805665,0.00507003953902302,3,,3,50,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 50}",0.5555555555555556,0.5,0.5555555555555556,0.4117647058823529,0.6470588235294118,0.5339869281045752,0.07721275516665288,48
0.3101712703704834,0.06329454738066817,0.06981277465820312,0.008922744370371438,3,,3,100,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 100}",0.5555555555555556,0.5,0.5,0.4117647058823529,0.6470588235294118,0.5228758169934641,0.0773067518957775,69
0.25332393646240237,0.04357430211905553,0.05505208969116211,0.019494314966370715,3,,3,150,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 3, 'n_estimators': 150}",0.5555555555555556,0.5,0.5,0.5294117647058824,0.7058823529411765,0.5581699346405229,0.07670763772712892,6
0.11189303398132325,0.02478333578218067,0.025133848190307617,0.0038060679136610195,3,,6,25,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 25}",0.5555555555555556,0.5555555555555556,0.3888888888888889,0.5294117647058824,0.5882352941176471,0.5235294117647059,0.06985824426607785,59
0.14678783416748048,0.029043001260896505,0.033124256134033206,0.00815225588965576,3,,6,50,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 50}",0.5,0.5,0.3333333333333333,0.5294117647058824,0.7058823529411765,0.5137254901960785,0.1183963069760826,74
0.168536376953125,0.012029628992557372,0.035112619400024414,0.0036411723518433425,3,,6,100,"{'max_depth': 3, 'max_features': None, 'max_leaf_nodes': 6, 'n_estimators': 100}",0.5555555555555556,0.5,0.5,0.47058823529411764,0.6470588235294118,0.534640522875817,0.06257465958118395,43
